gameId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
3308441904,1,1,1,1,1,2,0
3323211469,2,1,2,2,2,2,0
3239070398,1,1,1,1,1,1,1
3321515466,2,1,2,2,0,2,1
3326854781,2,2,2,2,0,2,2
3304019968,2,2,2,2,2,2,2
3310823148,2,2,1,2,2,2,0
3324255773,1,1,2,1,1,2,0
3291914262,1,1,1,1,1,1,1
3292340308,2,2,2,2,0,2,0
3315936069,2,2,1,2,0,2,0
3319805911,1,2,1,1,0,1,0
3329260934,2,2,2,2,0,2,0
3324626165,2,2,0,0,0,0,0
3234757204,2,2,2,2,0,2,0
3320809546,1,1,1,1,1,1,0
3324780567,2,2,1,2,0,2,1
3329580241,2,2,1,2,2,1,2
3284258021,1,1,2,1,1,2,1
3322667384,2,1,1,2,2,2,0
3329911332,1,1,1,1,0,1,1
3323195724,1,2,1,1,2,1,1
3266491878,1,1,0,0,0,0,0
3329967399,1,2,2,2,1,1,0
3286156157,1,2,2,1,2,1,0
3315822557,2,1,1,2,2,2,2
3255771424,1,1,1,1,1,1,0
3326141082,1,1,2,1,2,2,1
3323137521,2,2,2,2,2,2,0
3326748877,2,2,1,2,1,1,1
3329353675,2,2,2,2,2,1,0
3307247426,2,2,2,2,0,2,2
3303786715,2,2,2,2,0,2,2
3330222933,2,2,1,2,2,1,0
3330770893,2,1,1,2,0,2,0
3324617026,2,1,1,2,0,2,0
3317579194,1,1,2,1,1,1,1
3329677664,2,2,2,0,0,2,2
3327949426,2,2,2,2,2,2,0
3329680381,1,2,1,1,1,2,2
3250363663,2,2,2,2,2,2,2
3226806009,2,1,2,1,2,1,2
3329228498,2,1,2,2,2,1,0
3325674063,2,1,1,1,0,2,0
3326546339,2,1,1,2,1,1,0
3326246642,1,2,2,2,2,2,1
3279357309,2,2,2,2,2,2,2
3321453495,1,2,1,1,0,2,2
3325742062,1,1,1,1,1,1,1
3305781267,2,2,2,2,0,2,0
3285380402,1,1,1,0,0,1,1
3327551622,2,1,2,2,0,2,0
3317802158,2,2,2,2,0,2,2
3325670011,2,2,2,2,2,1,0
3266840374,2,2,2,2,2,1,0
3221701644,2,2,2,2,2,2,0
3319204057,2,2,1,2,2,2,2
3281128431,1,1,1,1,0,1,1
3306840599,1,1,2,1,1,1,0
3316748027,2,1,1,1,2,1,0
3325896401,1,1,1,1,0,2,1
3247965116,1,2,1,1,0,1,0
3316398607,2,1,1,2,1,1,0
3287106802,2,2,2,2,0,2,2
3320521537,1,1,2,1,1,1,0
3329924078,2,1,2,2,2,1,2
3329211150,1,2,2,1,0,2,1
3324772380,1,1,1,1,1,2,1
3327879350,1,1,1,1,1,1,1
3284381729,1,2,1,1,1,1,2
3325790087,2,2,2,2,0,1,2
3324238753,1,2,2,1,1,1,1
3321806088,1,2,2,1,1,2,0
3329913611,1,2,1,1,0,1,2
3314306079,1,2,1,1,2,2,0
3324729386,1,2,1,1,2,2,1
3331236806,1,2,1,2,2,1,0
3331280831,1,1,1,1,1,2,0
3320876986,1,2,2,2,1,2,0
3329494278,1,1,1,1,0,1,2
3307395806,2,1,2,2,0,2,0
3262208126,2,1,2,2,0,0,0
3326223439,1,1,1,1,1,2,2
3274396494,2,1,1,2,2,1,1
3318818090,2,1,2,0,0,2,0
3317777020,1,1,1,1,0,1,0
3282212583,2,2,2,0,0,2,0
3320658926,2,1,1,2,1,1,0
3328245104,2,2,2,2,2,1,2
3317614495,2,2,2,2,2,1,0
3331347853,1,1,1,1,0,1,0
3302077245,2,1,1,2,2,2,0
3328983490,1,2,2,1,2,2,0
3297576599,1,1,1,1,0,2,0
3331384849,2,2,2,0,0,2,0
3320877088,1,1,1,1,0,1,1
3325624093,1,1,0,0,0,0,0
3326758313,2,2,2,2,2,2,0
3253564836,1,2,1,1,0,1,2
3325664571,2,2,2,2,2,2,2
3295009462,1,2,1,1,1,1,1
3317172998,2,1,1,1,2,2,1
3321027967,2,2,2,2,2,2,2
3324589542,1,1,1,1,0,1,1
3259160655,2,1,1,1,2,1,1
3328296398,2,1,2,2,2,1,1
3308346611,1,1,1,1,1,1,1
3321325107,2,2,2,2,2,2,1
3327832510,1,1,1,1,1,2,2
3327595533,1,2,2,1,2,2,0
3290664826,1,1,2,2,2,2,0
3321531767,2,2,2,1,1,2,1
3317340805,2,2,0,0,0,0,0
3325615387,2,1,2,2,2,2,2
3322511851,2,1,2,1,2,2,0
3317898878,2,2,1,2,1,2,1
3325311159,2,2,2,2,0,2,2
3260259521,1,1,1,1,1,2,0
3327225092,1,1,0,0,0,0,0
3329833009,2,1,2,2,0,1,0
3315601672,2,1,2,2,2,2,0
3279719887,1,2,2,1,2,1,2
3329492475,2,2,1,2,2,1,0
3329500269,2,2,1,1,2,1,0
3327869045,2,2,2,2,2,2,2
3290831630,2,2,1,0,0,2,2
3324652094,1,2,1,1,1,2,1
3320572879,1,1,1,1,1,1,1
3309343856,2,2,2,2,2,2,2
3317895947,2,1,2,2,2,2,0
3216939712,2,2,1,2,0,2,2
3321671444,1,1,1,1,0,1,1
3327358725,2,2,2,2,2,1,0
3244802408,2,2,2,2,2,2,2
3327598639,2,2,1,2,2,2,0
3324889346,1,2,1,1,1,1,0
3240284160,2,2,2,1,2,1,1
3323216653,1,1,1,1,0,1,1
3331381617,2,1,2,2,2,2,2
3321324198,1,1,1,1,2,1,1
3324651443,2,1,2,2,0,2,2
